TAM111,TAM112
TraesCS5D02G397300,0,13
TraesCS5D02G320800,0,10
TraesCS7A02G250900,0,11
TraesCS4B02G361100,0,11
TraesCS4D02G354200,0,15
TraesCS5A02G529300,0,15
TraesCS6B02G142000,0,10
TraesCS3A02G325800,0,69
TraesCS3B02G354900,0,56
TraesCS3D02G319200,0,62
TraesCS7B02G031000,0,16
TraesCS7B02G036500,4,12
TraesCS7D02G135700,0,16
TraesCS2A02G326600,0,11
TraesCS3D02G078500,0,10
TraesCS7B02G094000,1,11
TraesCS3A02G497600,0,15
TraesCS3A02G497900,0,22
TraesCS3B02G560600,0,14
TraesCS3B02G561000,0,40
TraesCS3D02G505200,0,37
TraesCS4A02G007800,0,10
TraesCS1A02G005315,0,153
TraesCS1A02G005368,0,120
TraesCS1A02G005387,0,148
TraesCS1A02G007300,0,16
TraesCS1A02G007344,0,11
TraesCS1A02G007405,0,16
TraesCS1A02G007700,0,15
TraesCS1A02G033288,0,346
TraesCS1A02G033501,0,342
TraesCS1A02G066100,0,53
TraesCS1A02G145300,1,10
TraesCS1A02G329900,0,13
TraesCS1B02G010400,0,10
TraesCS1B02G010500,0,21
TraesCS1B02G010600,0,28
TraesCS1B02G010900,0,63
TraesCS1B02G011000,0,31
TraesCS1B02G011300,0,11
TraesCS1B02G011463,0,146
TraesCS1B02G011474,0,198
TraesCS1B02G013500,0,20
TraesCS1B02G034300,0,16
TraesCS1B02G041928,0,107
TraesCS1B02G042700,0,17
TraesCS1B02G084300,0,30
TraesCS1B02G162500,1,13
TraesCS1B02G307700,0,10
TraesCS1B02G329711,0,13
TraesCS1B02G329992,0,20
TraesCS1B02G479200,0,18
TraesCS1D02G000531,0,64
TraesCS1D02G000567,0,156
TraesCS1D02G000582,0,535
TraesCS1D02G000700,0,13
TraesCS1D02G001000,0,60
TraesCS1D02G001100,0,58
TraesCS1D02G001300,0,20
TraesCS1D02G002063,0,122
TraesCS1D02G007400,0,15
TraesCS1D02G008600,0,17
TraesCS1D02G009400,0,11
TraesCS1D02G009900,0,18
TraesCS1D02G015100,0,12
TraesCS1D02G067100,0,32
TraesCS1D02G144200,1,11
TraesCS1D02G200200,0,10
TraesCS1D02G317211,0,12
TraesCS1D02G317301,0,11
TraesCS1D02G332200,0,16
TraesCS1D02G376300,0,36
TraesCS2A02G061900,0,10
TraesCS2A02G174600,1,26
TraesCS2A02G202100,0,11
TraesCS2A02G405100,0,15
TraesCS2A02G427300,1,10
TraesCS2A02G449561,0,17
TraesCS2A02G449600,0,11
TraesCS2B02G329900,0,11
TraesCS2B02G423200,0,11
TraesCS2D02G061400,0,11
TraesCS2D02G081900,0,14
TraesCS3B02G111200,0,28
TraesCS3B02G270800,0,14
TraesCS3B02G475019,0,87
TraesCS3D02G038700,0,11
TraesCS3D02G059000,0,13
TraesCS3D02G130300,0,57
TraesCS3D02G275500,1,15
TraesCS3D02G538000,0,17
TraesCS4A02G030700,0,11
TraesCS4A02G056500,0,12
TraesCS4A02G092700,0,11
TraesCS4A02G325400,0,24
TraesCS4B02G191700,0,13
TraesCS4B02G328100,0,11
TraesCS4D02G186100,1,25
TraesCS4D02G192900,0,21
TraesCS4D02G226000,0,13
TraesCS4D02G234700,0,11
TraesCS4D02G325100,0,20
TraesCS4D02G364900,0,15
TraesCS5A02G021400,1,10
TraesCS5A02G025600,0,12
TraesCS5B02G214100,0,14
TraesCS5B02G253600,0,11
TraesCS5B02G362000,0,14
TraesCS5B02G400600,0,138
TraesCS5B02G499700,1,11
TraesCS5D02G050800,1,23
TraesCS5D02G056200,0,32
TraesCS5D02G368900,0,25
TraesCS5D02G392200,0,18
TraesCS5D02G425800,0,68
TraesCS5D02G558700,1,15
TraesCS6A02G048900,0,14
TraesCS6A02G049066,0,18
TraesCS6A02G049100,0,22
TraesCS6A02G049200,0,23
TraesCS6A02G049400,0,23
TraesCS6A02G049500,0,24
TraesCS6A02G049700,0,26
TraesCS6A02G049800,0,24
TraesCS6A02G249400,0,15
TraesCS6A02G362200,1,11
TraesCS6A02G372500,0,11
TraesCS6A02G387900,0,15
TraesCS6B02G024700,0,29
TraesCS6B02G042500,0,16
TraesCS6B02G065536,0,18
TraesCS6B02G065578,0,25
TraesCS6B02G065600,0,21
TraesCS6B02G065749,0,14
TraesCS6B02G065800,0,11
TraesCS6B02G065856,0,21
TraesCS6B02G066000,0,26
TraesCS6B02G066100,0,28
TraesCS6B02G086500,0,41
TraesCS6B02G086522,0,24
TraesCS6B02G354400,0,13
TraesCS6B02G376000,0,10
TraesCS6B02G427200,0,21
TraesCS6D02G034200,0,12
TraesCS6D02G337100,0,10
TraesCS6D02G356600,0,12
TraesCS6D02G372000,0,14
TraesCS7A02G506500,0,13
TraesCS7A02G565800,0,11
TraesCS7B02G160000,0,14
TraesCS7B02G298900,0,13
TraesCS7D02G009400,0,10
TraesCS7D02G031800,0,18
TraesCS7D02G033200,0,14
TraesCS7D02G066400,0,19
TraesCS7D02G088300,0,14
TraesCS7D02G172000,0,27
TraesCS7D02G397500,1,31
TraesCSU02G108000,0,23
TraesCSU02G108100,0,20
TraesCSU02G108200,0,24
TraesCSU02G108300,0,63
TraesCSU02G108363,0,23
TraesCSU02G108400,0,11
TraesCSU02G108500,1,20
TraesCSU02G108600,0,46
TraesCSU02G108700,0,15
TraesCSU02G153800,0,18
TraesCSU02G188800,0,18
TraesCSU02G210181,0,108
TraesCSU02G220200,0,29
TraesCSU02G220600,0,55
TraesCSU02G239000,0,21
TraesCSU02G255529,0,36
TraesCSU02G257591,0,124
TraesCSU02G267761,0,25
TraesCSU02G272393,0,186
