runID,sampleID,bioReplicate,techReplicate,treatment,time
SRR8667872,GSM3639401,1,1,Intact,1
SRR8667873,GSM3639401,1,2,Intact,1
SRR8667874,GSM3639401,1,3,Intact,1
SRR8667875,GSM3639402,2,1,Intact,1
SRR8667876,GSM3639402,2,2,Intact,1
SRR8667877,GSM3639402,2,3,Intact,1
SRR8667878,GSM3639403,3,1,Intact,1
SRR8667879,GSM3639403,3,2,Intact,1
SRR8667880,GSM3639403,3,3,Intact,1
SRR8667881,GSM3639404,1,1,Intact,3
SRR8667882,GSM3639404,1,2,Intact,3
SRR8667883,GSM3639404,1,3,Intact,3
SRR8667884,GSM3639405,2,1,Intact,3
SRR8667885,GSM3639405,2,2,Intact,3
SRR8667886,GSM3639405,2,3,Intact,3
SRR8667887,GSM3639406,3,1,Intact,3
SRR8667888,GSM3639406,3,2,Intact,3
SRR8667889,GSM3639406,3,3,Intact,3
SRR8667890,GSM3639407,1,1,Intact,6
SRR8667891,GSM3639407,1,2,Intact,6
SRR8667892,GSM3639408,2,1,Intact,6
SRR8667893,GSM3639408,2,2,Intact,6
SRR8667894,GSM3639408,2,3,Intact,6
SRR8667895,GSM3639409,3,1,Intact,6
SRR8667896,GSM3639409,3,2,Intact,6
SRR8667897,GSM3639409,3,3,Intact,6
SRR8667898,GSM3639410,1,1,LeafRemoved,1
SRR8667899,GSM3639410,1,2,LeafRemoved,1
SRR8667900,GSM3639410,1,3,LeafRemoved,1
SRR8667901,GSM3639411,2,1,LeafRemoved,1
SRR8667902,GSM3639411,2,2,LeafRemoved,1
SRR8667903,GSM3639411,2,3,LeafRemoved,1
SRR8667904,GSM3639412,3,1,LeafRemoved,1
SRR8667905,GSM3639412,3,2,LeafRemoved,1
SRR8667906,GSM3639412,3,3,LeafRemoved,1
SRR8667907,GSM3639413,1,1,LeafRemoved,3
SRR8667908,GSM3639413,1,2,LeafRemoved,3
SRR8667909,GSM3639413,1,3,LeafRemoved,3
SRR8667910,GSM3639414,2,1,LeafRemoved,3
SRR8667911,GSM3639414,2,2,LeafRemoved,3
SRR8667912,GSM3639414,2,3,LeafRemoved,3
SRR8667913,GSM3639415,3,1,LeafRemoved,3
SRR8667914,GSM3639415,3,2,LeafRemoved,3
SRR8667915,GSM3639415,3,3,LeafRemoved,3
SRR8667916,GSM3639416,1,1,LeafRemoved,6
SRR8667917,GSM3639416,1,2,LeafRemoved,6
SRR8667918,GSM3639416,1,3,LeafRemoved,6
SRR8667919,GSM3639417,2,1,LeafRemoved,6
SRR8667920,GSM3639417,2,2,LeafRemoved,6
SRR8667921,GSM3639418,3,1,LeafRemoved,6
SRR8667922,GSM3639418,3,2,LeafRemoved,6
SRR8667923,GSM3639418,3,3,LeafRemoved,6
